item_root,group_file,id,name,desc,has_icon,has_icon_raw,price,cash_flag,slot_max,xml_relpath,png_dir_relpath,icon_png_relpath,icon_raw_png_relpath
Etc,0400,4000019,Snail Shell,Shell removed from a snail,1,1,2,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000019/info,Item/Item.wz/Etc/0400.img/04000019/info/icon.png,Item/Item.wz/Etc/0400.img/04000019/info/iconRaw.png
Etc,0400,4000020,Wild Boar Tooth,The canine tooth taken off from the Wild Boar,1,1,17,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000020/info,Item/Item.wz/Etc/0400.img/04000020/info/icon.png,Item/Item.wz/Etc/0400.img/04000020/info/iconRaw.png
Etc,0400,4000021,Leather,An animal's skin that's been cut away,1,1,100,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000021/info,Item/Item.wz/Etc/0400.img/04000021/info/icon.png,Item/Item.wz/Etc/0400.img/04000021/info/iconRaw.png
Etc,0400,4000022,Stone Golem Rubble,A mystic rubble that was a part of Stone Golem.,1,1,60,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000022/info,Item/Item.wz/Etc/0400.img/04000022/info/icon.png,Item/Item.wz/Etc/0400.img/04000022/info/iconRaw.png
Etc,0400,4000023,Cold Eye Tail,A tail removed from a lizard,1,1,35,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000023/info,Item/Item.wz/Etc/0400.img/04000023/info/icon.png,Item/Item.wz/Etc/0400.img/04000023/info/iconRaw.png
Etc,0400,4000024,Fire Boar's Tooth,The canine tooth taken off from the Fire Boar,1,1,25,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000024/info,Item/Item.wz/Etc/0400.img/04000024/info/icon.png,Item/Item.wz/Etc/0400.img/04000024/info/iconRaw.png
Etc,0400,4000025,Dark Stone Golem Rubble,A mystic rubble that was a part of Dark Stone Golem.,1,1,70,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000025/info,Item/Item.wz/Etc/0400.img/04000025/info/icon.png,Item/Item.wz/Etc/0400.img/04000025/info/iconRaw.png
Etc,0400,4000026,Lupin Doll,A miniature figure of Lupin,1,1,100,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000026/info,Item/Item.wz/Etc/0400.img/04000026/info/icon.png,Item/Item.wz/Etc/0400.img/04000026/info/iconRaw.png
Etc,0400,4000027,Wild Kargo Eye,An eye removed from Wild Kargo,1,1,80,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000027/info,Item/Item.wz/Etc/0400.img/04000027/info/icon.png,Item/Item.wz/Etc/0400.img/04000027/info/iconRaw.png
Etc,0400,4000028,Tauromacis Horn,A very solid and heavy piece of a horn from Tauromacis.,1,1,100,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000028/info,Item/Item.wz/Etc/0400.img/04000028/info/icon.png,Item/Item.wz/Etc/0400.img/04000028/info/iconRaw.png
Etc,0400,4000029,Lupin's Banana,It's Lupin's favorite: a tasty banana,1,1,32,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000029/info,Item/Item.wz/Etc/0400.img/04000029/info/icon.png,Item/Item.wz/Etc/0400.img/04000029/info/iconRaw.png
Etc,0400,4000030,Dragon Skin,A solid piece of dragon's skin that gives off a mysterious light.,1,1,200,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000030/info,Item/Item.wz/Etc/0400.img/04000030/info/icon.png,Item/Item.wz/Etc/0400.img/04000030/info/iconRaw.png
Etc,0400,4000031,Cursed Doll,A cursed doll possessed by the Zombie Lupin's.,1,1,35,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000031/info,Item/Item.wz/Etc/0400.img/04000031/info/icon.png,Item/Item.wz/Etc/0400.img/04000031/info/iconRaw.png
Etc,0400,4000032,Ligator Skin,A very solid and tough piece of skin from the Ligator.,1,1,25,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000032/info,Item/Item.wz/Etc/0400.img/04000032/info/icon.png,Item/Item.wz/Etc/0400.img/04000032/info/iconRaw.png
Etc,0400,4000033,Croco Skin,A very solid and tough piece of skin from Croco.,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000033/info,Item/Item.wz/Etc/0400.img/04000033/info/icon.png,Item/Item.wz/Etc/0400.img/04000033/info/iconRaw.png
Etc,0400,4000034,Jr. Necki Skin,A piece of skin from the Jr. Necki.,1,1,12,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000034/info,Item/Item.wz/Etc/0400.img/04000034/info/icon.png,Item/Item.wz/Etc/0400.img/04000034/info/iconRaw.png
Etc,0400,4000035,Tablecloth,A tablecloth donned by Jr. Wraith.,1,1,30,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000035/info,Item/Item.wz/Etc/0400.img/04000035/info/icon.png,Item/Item.wz/Etc/0400.img/04000035/info/iconRaw.png
Etc,0400,4000036,Medicine With Weird Vibes,A medicine with weird vibes left by Wraith,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000036/info,Item/Item.wz/Etc/0400.img/04000036/info/icon.png,Item/Item.wz/Etc/0400.img/04000036/info/iconRaw.png
Etc,0400,4000037,Bubbling's Huge Bubble,A huge bubble removed from a Bubbling,1,1,10,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000037/info,Item/Item.wz/Etc/0400.img/04000037/info/icon.png,Item/Item.wz/Etc/0400.img/04000037/info/iconRaw.png
Etc,0400,4000038,Event Trophy,"A souvenir for entering the event. Made out of gold, so you can sell it for a high price.",1,1,30000,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000038/info,Item/Item.wz/Etc/0400.img/04000038/info/icon.png,Item/Item.wz/Etc/0400.img/04000038/info/iconRaw.png
Etc,0400,4000039,Iron Hog's Metal Hoof,A metal hoof that covered the legs of Iron Hog. ,1,1,38,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000039/info,Item/Item.wz/Etc/0400.img/04000039/info/icon.png,Item/Item.wz/Etc/0400.img/04000039/info/iconRaw.png
Etc,0400,4000040,Mushmom Spore,"A spore from Mushmom, a humongous mushroom",1,1,100,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000040/info,Item/Item.wz/Etc/0400.img/04000040/info/icon.png,Item/Item.wz/Etc/0400.img/04000040/info/iconRaw.png
Etc,0400,4000041,Malady's Experimental Frog,A bottle containing frogs that Malady had for various experiments.,1,1,60,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000041/info,Item/Item.wz/Etc/0400.img/04000041/info/icon.png,Item/Item.wz/Etc/0400.img/04000041/info/iconRaw.png
Etc,0400,4000042,Stirge Wing,A wing cut out of Stirge.,1,1,12,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000042/info,Item/Item.wz/Etc/0400.img/04000042/info/icon.png,Item/Item.wz/Etc/0400.img/04000042/info/iconRaw.png
Etc,0400,4000043,Lorang Claw,A huge piece of claw cut out of Lorang.,1,1,32,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000043/info,Item/Item.wz/Etc/0400.img/04000043/info/icon.png,Item/Item.wz/Etc/0400.img/04000043/info/iconRaw.png
Etc,0400,4000044,Clang Claw,A huge piece of claw cut out of Clang.,1,1,60,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000044/info,Item/Item.wz/Etc/0400.img/04000044/info/icon.png,Item/Item.wz/Etc/0400.img/04000044/info/iconRaw.png
Etc,0400,4000045,Tortie Shell,A shell cut out of Tortie's back.,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000045/info,Item/Item.wz/Etc/0400.img/04000045/info/icon.png,Item/Item.wz/Etc/0400.img/04000045/info/iconRaw.png
Etc,0400,4000046,Taurospear Horn,A very tough and heavy piece of horn from Taurospear.,1,1,110,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000046/info,Item/Item.wz/Etc/0400.img/04000046/info/icon.png,Item/Item.wz/Etc/0400.img/04000046/info/iconRaw.png
Etc,0400,4000047,Mouse,A computer mouse probably taken from an internet cafe.,1,1,55,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000047/info,Item/Item.wz/Etc/0400.img/04000047/info/icon.png,Item/Item.wz/Etc/0400.img/04000047/info/iconRaw.png
Etc,0400,4000048,Jr. Yeti Skin,A skin cut out of Jr. Yeti. Very soft and full of white fur. ,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000048/info,Item/Item.wz/Etc/0400.img/04000048/info/icon.png,Item/Item.wz/Etc/0400.img/04000048/info/iconRaw.png
Etc,0400,4000049,Yeti Horn,A horn cut out of Yeti. Very solid and hard to break.,1,1,120,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000049/info,Item/Item.wz/Etc/0400.img/04000049/info/icon.png,Item/Item.wz/Etc/0400.img/04000049/info/iconRaw.png
Etc,0400,4000050,Pepe Beak,A beak cut out of Pepe. Solid and gold-colored.,1,1,75,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000050/info,Item/Item.wz/Etc/0400.img/04000050/info/icon.png,Item/Item.wz/Etc/0400.img/04000050/info/iconRaw.png
Etc,0400,4000051,Hector Tail,"A tail cut out of Hector. Brown, and a tad rough.",1,1,60,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000051/info,Item/Item.wz/Etc/0400.img/04000051/info/icon.png,Item/Item.wz/Etc/0400.img/04000051/info/iconRaw.png
Etc,0400,4000052,White Pang Tail,"A tail cut out of White Pang. Very soft, white hair.",1,1,70,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000052/info,Item/Item.wz/Etc/0400.img/04000052/info/icon.png,Item/Item.wz/Etc/0400.img/04000052/info/iconRaw.png
Etc,0400,4000053,Werewolf Toenail,"A toenail cut out of Werewolf. Better be careful, because it's really sharp.",1,1,130,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000053/info,Item/Item.wz/Etc/0400.img/04000053/info/icon.png,Item/Item.wz/Etc/0400.img/04000053/info/iconRaw.png
Etc,0400,4000054,Lycanthrope Toenail,"A toenail cut out of Werewolf. Better be careful, because it's not only really sharp, but almost unbreakable.",1,1,130,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000054/info,Item/Item.wz/Etc/0400.img/04000054/info/icon.png,Item/Item.wz/Etc/0400.img/04000054/info/iconRaw.png
Etc,0400,4000055,Dark Jr. Yeti Skin,"A skin cut out of Dark Jr. Yeti. Consists of rough, black hair.",1,1,65,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000055/info,Item/Item.wz/Etc/0400.img/04000055/info/icon.png,Item/Item.wz/Etc/0400.img/04000055/info/iconRaw.png
Etc,0400,4000056,Dark Yeti Horn,A horn cut out of Dark Yeti. Very solid and hard to break.,1,1,125,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000056/info,Item/Item.wz/Etc/0400.img/04000056/info/icon.png,Item/Item.wz/Etc/0400.img/04000056/info/iconRaw.png
Etc,0400,4000057,Dark Pepe Beak,A beak cut out of Dark Pepe. Solid and black-colored. ,1,1,80,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000057/info,Item/Item.wz/Etc/0400.img/04000057/info/icon.png,Item/Item.wz/Etc/0400.img/04000057/info/iconRaw.png
Etc,0400,4000058,Nependeath Seed,"A seed cut out of Nependeath. It's poisonous, so it shouldn't be taken lightly.",1,1,38,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000058/info,Item/Item.wz/Etc/0400.img/04000058/info/icon.png,Item/Item.wz/Etc/0400.img/04000058/info/iconRaw.png
Etc,0400,4000059,Star Pixie's Starpiece,A piece of star dropped by Star Pixie. It glows beautifully.,1,1,35,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000059/info,Item/Item.wz/Etc/0400.img/04000059/info/icon.png,Item/Item.wz/Etc/0400.img/04000059/info/iconRaw.png
Etc,0400,4000060,Lunar Pixie's Moonpiece,A piece of moon dropped by Lunar Pixie. It glows beautifully.,1,1,40,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000060/info,Item/Item.wz/Etc/0400.img/04000060/info/icon.png,Item/Item.wz/Etc/0400.img/04000060/info/iconRaw.png
Etc,0400,4000061,Luster Pixie's Sunpiece,A piece of sun dropped by Luster Pixie. It glows beautifully.,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000061/info,Item/Item.wz/Etc/0400.img/04000061/info/icon.png,Item/Item.wz/Etc/0400.img/04000061/info/iconRaw.png
Etc,0400,4000062,Dark Nependeath Seed,"A seed cut out of Dark Nependeath. Should be handled with care, because it's poisonous with thorns around it.",1,1,55,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000062/info,Item/Item.wz/Etc/0400.img/04000062/info/icon.png,Item/Item.wz/Etc/0400.img/04000062/info/iconRaw.png
Etc,0400,4000063,Sentinel Shellpiece,A hard shellpiece from Sentinel.,1,1,25,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000063/info,Item/Item.wz/Etc/0400.img/04000063/info/icon.png,Item/Item.wz/Etc/0400.img/04000063/info/iconRaw.png
Etc,0400,4000064,Crow Feather,The feather of a crow.,1,1,17,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000064/info,Item/Item.wz/Etc/0400.img/04000064/info/icon.png,Item/Item.wz/Etc/0400.img/04000064/info/iconRaw.png
Etc,0400,4000065,Raccoon Firewood,Raccoon's firewood.,1,1,25,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000065/info,Item/Item.wz/Etc/0400.img/04000065/info/icon.png,Item/Item.wz/Etc/0400.img/04000065/info/iconRaw.png
Etc,0400,4000066,Cloud Foxtail,Cloud Fox's tail.,1,1,25,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000066/info,Item/Item.wz/Etc/0400.img/04000066/info/icon.png,Item/Item.wz/Etc/0400.img/04000066/info/iconRaw.png
Etc,0400,4000067,Jr. Boogie Horn,"A horn removed from Jr. Boogie. Small, dense, and hard to break.",1,1,35,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000067/info,Item/Item.wz/Etc/0400.img/04000067/info/icon.png,Item/Item.wz/Etc/0400.img/04000067/info/iconRaw.png
Etc,0400,4000068,Fierry's Tentacle,"A tentacle removed from Fierry. Very small and delicate, so it should be handled with care.",1,1,25,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000068/info,Item/Item.wz/Etc/0400.img/04000068/info/icon.png,Item/Item.wz/Etc/0400.img/04000068/info/iconRaw.png
Etc,0400,4000069,Zombie's Lost Tooth,"A lost tooth from a Zombie. It's very decayed, looking to break apart any minute.",1,1,65,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000069/info,Item/Item.wz/Etc/0400.img/04000069/info/icon.png,Item/Item.wz/Etc/0400.img/04000069/info/iconRaw.png
Etc,0400,4000070,Cellion Tail,A tail removed from Cellion. Very soft and scorching hot.,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000070/info,Item/Item.wz/Etc/0400.img/04000070/info/icon.png,Item/Item.wz/Etc/0400.img/04000070/info/iconRaw.png
Etc,0400,4000071,Lioner Tail,A tail removed from Lioner. Very soft and electric.,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000071/info,Item/Item.wz/Etc/0400.img/04000071/info/icon.png,Item/Item.wz/Etc/0400.img/04000071/info/iconRaw.png
Etc,0400,4000072,Grupin Tail,A tail removed from Grupin. Very soft and ice cold.,1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000072/info,Item/Item.wz/Etc/0400.img/04000072/info/icon.png,Item/Item.wz/Etc/0400.img/04000072/info/iconRaw.png
Etc,0400,4000073,Solid Horn,"A horn that can be obtained from Jr. Cellion, Jr. Lioner, and Jr. Grupin.",1,1,25,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000073/info,Item/Item.wz/Etc/0400.img/04000073/info/icon.png,Item/Item.wz/Etc/0400.img/04000073/info/iconRaw.png
Etc,0400,4000074,Lucida Tail,A tail removed from Lucida. It is overflowing with evil force.,1,1,125,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000074/info,Item/Item.wz/Etc/0400.img/04000074/info/icon.png,Item/Item.wz/Etc/0400.img/04000074/info/iconRaw.png
Etc,0400,4000075,Triangular Bandana of the Nightghost,Triangular Bandana that Nightghost wears while spooking other.,1,1,75,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000075/info,Item/Item.wz/Etc/0400.img/04000075/info/icon.png,Item/Item.wz/Etc/0400.img/04000075/info/iconRaw.png
Etc,0400,4000076,Fly-Eye Wing,A wing removed from Fly-Eye. Spiky and very dirty.,1,1,35,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000076/info,Item/Item.wz/Etc/0400.img/04000076/info/icon.png,Item/Item.wz/Etc/0400.img/04000076/info/iconRaw.png
Etc,0400,4000077,Dark Cloud Foxtail,Dark Cloud Fox's tail,1,1,40,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000077/info,Item/Item.wz/Etc/0400.img/04000077/info/icon.png,Item/Item.wz/Etc/0400.img/04000077/info/iconRaw.png
Etc,0400,4000078,Jr. Cerebes Tooth,"A tooth removed from Jr. Cerebes. Very small and dense, it also looks very hard to break.",1,1,38,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000078/info,Item/Item.wz/Etc/0400.img/04000078/info/icon.png,Item/Item.wz/Etc/0400.img/04000078/info/iconRaw.png
Etc,0400,4000079,Cerebes Tooth,"A tooth removed from Cerebes. Very long and massive, enough for it to be a threat to someone.",1,1,115,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000079/info,Item/Item.wz/Etc/0400.img/04000079/info/icon.png,Item/Item.wz/Etc/0400.img/04000079/info/iconRaw.png
Etc,0400,4000080,Bain's Spiky Collar,"A collar stolen from Bain. Spiked in everywhich way, enough for it to be a threat to someone.",1,1,180,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000080/info,Item/Item.wz/Etc/0400.img/04000080/info/icon.png,Item/Item.wz/Etc/0400.img/04000080/info/iconRaw.png
Etc,0400,4000081,Firebomb Flame,"A collection of sparks from Firebomb. Scorching hot, looking to explode any minute.",1,1,50,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000081/info,Item/Item.wz/Etc/0400.img/04000081/info/icon.png,Item/Item.wz/Etc/0400.img/04000081/info/iconRaw.png
Etc,0400,4000082,Zombie's Lost Gold Tooth,A lost gold tooth from the zombie.,1,1,130,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000082/info,Item/Item.wz/Etc/0400.img/04000082/info/icon.png,Item/Item.wz/Etc/0400.img/04000082/info/iconRaw.png
Etc,0400,4000083,Jr. Sentinel Shellpiece,A hard shellpiece that's a part of Jr. Sentinel.,1,1,18,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000083/info,Item/Item.wz/Etc/0400.img/04000083/info/icon.png,Item/Item.wz/Etc/0400.img/04000083/info/iconRaw.png
Etc,0400,4000084,Ice Sentinel Shellpiece,A hard shellpiece that's a part of Ice Sentinel.,1,1,25,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000084/info,Item/Item.wz/Etc/0400.img/04000084/info/icon.png,Item/Item.wz/Etc/0400.img/04000084/info/iconRaw.png
Etc,0400,4000085,Fire Sentinel Shellpiece,A hard shellpiece that's a part of Fire Sentinel,1,1,25,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000085/info,Item/Item.wz/Etc/0400.img/04000085/info/icon.png,Item/Item.wz/Etc/0400.img/04000085/info/iconRaw.png
Etc,0400,4000086,Leatty Furball,Leatty's Furball. So soft and small that it looks like it may just float away.,1,1,28,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000086/info,Item/Item.wz/Etc/0400.img/04000086/info/icon.png,Item/Item.wz/Etc/0400.img/04000086/info/iconRaw.png
Etc,0400,4000087,Dark Leatty Furball,Dark Leatty's Furball. So soft and small that it looks like it may just float away.,1,1,30,,200,Item/Item.wz/Etc/0400.img.xml,Item/Item.wz/Etc/0400.img/04000087/info,Item/Item.wz/Etc/0400.img/04000087/info/icon.png,Item/Item.wz/Etc/0400.img/04000087/info/iconRaw.png
